id;description
83;MORE THAN THREE OR IMPROPER AUX LAMP
55;TRUCK TRAILOR/SEMI/TRAILER PROHIBITED
127;PARK IN CITY LOT WHEN CLOSED
50;CURB LOADING ZONE
36;PARK OR STAND ON PARKWAY
74;HORN REQUIRED DURING OPERATION
22;RESIDENTIAL PERMIT PARKING
124;NO PARK IN PUBLIC LOT
113;SAFETY CHAINS REQUIRED
17;3-7 AM SNOW ROUTE
30;STOP SIGN OR TRAFFIC SIGNAL
95;REAR VIEW MIRROR REQUIRED
40;PARK OR STAND ON CITY PROPERTY
69;HAND BRAKES:PROPER STOPPING CAPABILITY
46;PARK OR BLOCK ALLEY
98;EXCESS FUMES/SMOKE DURING OPERATION
4;UNSAFE CONDITION
108;SAFETY BELTS REQUIRED ON SCHOOL BUS
105;NONCOMPLIANT PLATE(S)
12;SPECIAL EVENTS RESTRICTION
117;SMOKED/TINTED WINDOWS PARKED/STANDING
70;ANTIQ VEH BRAKES:STOPPING CAPABILITY
