infraction;tickets
PARK OR STAND ON CITY PROPERTY;8577
PARK/STAND ON BICYCLE PATH;8149
PARKED VEHICLES - IMPROPER DISPLAY OF RE;7079
LAMPS BROKEN OR INOPERABLE;6701
PARK IN CITY LOT WHEN CLOSED;5807
Special Events;5733
SPECIAL EVENTS RESTRICTION;5396
BURGLAR ALARM SOUNDING OVER 4 MINUTES;5082
NO PARK IN PUBLIC LOT;4785
PARK OR STAND ON CHA PROPERTY;4505
PARKED/STANDING UNATTENDED W/MOTOR RUNNI;3544
NON PYMT/NON-COM VEH PARKED IN COM LOADING ZONE;3204
REAR PLATE LIT AND LEGIBLE FOR 50';3156
RED REAR LAMP REQUIRED VISIBLE 500';3073
UNSAFE CONDITION;2946
NO CITY STICKER VEHICLE OVER 16,000 LBS.;2925
PARK OR STAND WITHIN INTERSECTION;2217
PARK OR STAND ON BRIDGE;2207
PARK VEHICLE TO GREASE OR REPAIR;2186
UNDER FIRE ESCAPE;2058
VEH 6' OR HIGHER WITHIN 20' OF CROSSWALK;1702
REAR VIEW MIRROR REQUIRED;1586
FAIL TO DISPLAY TV NEWS PERMIT;1355
NO OPERATOR SIGNAL;1352
FRONT PLATE REQUIRED FOR TRUCK TRACTORS;1195
PARK OR STAND NEAR FIRE STATION OR RR XX;1031
INDUSTRIAL PERMIT PARKING;948
NO OR IMPROPER MUFFLER;948
PARK OR STAND ON OR WITHIN 10' RR TRACKS;928
SAFETY BELTS REQUIRED ON SCHOOL BUS;827
NO DISPLAY OF BACK-IN PERMIT;564
EXCESS FUMES/SMOKE DURING OPERATION;527
PARK VEHICLE TO SELL MERCHANDISE;462
RESIDENTIAL PARKING PERMIT ZONE;410
IMPROPER LAMPS NON-MOTOR VEHICLE;377
USE OF SIREN/BELL/WHISTLE PROHIBITED;339
PROJECTING LOAD (LEFT OR RIGHT SIDE);318
PARK IN CITY LOT OVER 30 DAYS;301
IMPROPER LAMP FOR PARKED VEH ON UNLIT ST;289
PARK MOTORCYCLE/SCOOTER PARK AT 90 DEGREE ANGLE;286
INVALID PLACARD;251
PARK OR STAND IN BUS/TAXI/CARRIAGE STAND;241
MOTORCYCLE HEAD LAMP VISIBLE 500';236
PROJECTING LOAD (REAR);233
NO PARKING IN LOOP;193
DEPR./DIMMED LAMPS;173
2 REAR TRAILER LAMPS REQ'D VISIBLE 500';167
MORE THAN ONE OR IMPROPER SPOT LAMP;167
HEADLIGHTS REQUIRED;163
EXCESSIVE DIESEL POWERED VEHICLE ENGINE RUNNING;152
BRAKES REQUIRED DURING OPERATION;146
THEATER ENTRANCE/EXIT;145
SERVICE BRAKES:STOPPING CAPABILITY;115
HAND BRAKES:PROPER STOPPING CAPABILITY;114
DISABLED PARKING;108
COMMERCIAL IDENTIFICATION ETC. REQUIRED;93
HORN REQUIRED DURING OPERATION;93
IMPROPER SIDE COWL/FENDER LAMPS;78
WINDSHIELD WIPERS REQUIRED;67
BRAKES REQUIRED IN GOOD WORKING ORDER;63
SUSPENSION MODIFIED BEYOND 3 ;51
PROPER FRONT AND REAR BUMPERS REQUIRED;42
TWO RED REAR TRAILER REFLECTORS REQUIRED;39
MORE THAN THREE OR IMPROPER AUX LAMP;37
IMPROPER RUNNING BOARD LAMPS;36
BURGLAR ALARM;26
MOTORCYCLE BRAKES REQ'D DURING OPERATION;25
PARK/STAND IN WRIGLEY BUS PERMIT ZONE;15
BACK-UP LAMP LIT DURING OPERATION;13
MORE THAN FOUR FRONT MOUNTED LAMPS;13
ANTIQ VEH BRAKES:STOPPING CAPABILITY;10
MOTOR RUNNING IN WRIGLEY BUS PERMIT ZONE;9
BRAKES, GOOD WORKING ORDER;8
SAFETY CHAINS REQUIRED;7
PARKED VEHICLES-LIGHTING REGULATIONS;5
SEMITRAILER BRAKES REQD DURING OPERATION;3
PARKED VEHICLES - LIGHTING REGULATIONS;2
STREET CLEANING;2
OUTSIDE DIAGONAL MARKINGS;1
